,index1,Category
0,0,0
1,1,0
2,2,0
23626,3,374
29442,4,96
33942,5,24
3,6,0
33943,7,24
35755,8,139
35839,9,2
33944,10,24
36355,11,10
35840,12,2
39845,13,317
23627,14,374
42431,15,115
43185,16,6
33945,17,24
44466,18,371
45297,19,376
33946,20,24
33947,21,24
36356,22,10
46613,23,316
33948,24,24
33949,25,24
47092,26,372
33950,27,24
54580,28,144
54648,29,116
47093,30,372
54677,31,137
54581,32,144
4,33,0
54649,34,116
54860,35,4
33951,36,24
54861,37,4
35841,38,2
23628,39,374
36357,40,10
47094,41,372
33952,42,24
33953,43,24
33954,44,24
39846,45,317
47095,46,372
54886,47,91
54887,48,91
54888,49,91
54889,50,91
54890,51,91
45298,52,376
39847,53,317
39848,54,317
54891,55,91
39849,56,317
39850,57,317
36358,58,10
29443,59,96
29444,60,96
39851,61,317
43186,62,6
43187,63,6
43188,64,6
39852,65,317
29445,66,96
39853,67,317
55220,68,111
36359,69,10
55221,70,111
54892,71,91
39854,72,317
54893,73,91
39855,74,317
54894,75,91
39856,76,317
54895,77,91
54896,78,91
39857,79,317
39858,80,317
39859,81,317
39860,82,317
55837,83,112
36360,84,10
55838,85,112
43189,86,6
43190,87,6
29446,88,96
39861,89,317
43191,90,6
39862,91,317
54897,92,91
54898,93,91
43192,94,6
39863,95,317
43193,96,6
43194,97,6
39864,98,317
54899,99,91
39865,100,317
39866,101,317
39867,102,317
54900,103,91
39868,104,317
54901,105,91
54902,106,91
54903,107,91
54904,108,91
29447,109,96
54905,110,91
54906,111,91
54907,112,91
54908,113,91
54909,114,91
54910,115,91
54911,116,91
54912,117,91
54913,118,91
54914,119,91
54915,120,91
54916,121,91
46614,122,316
39869,123,317
46615,124,316
39870,125,317
54917,126,91
54918,127,91
56211,128,90
39871,129,317
56481,130,315
56212,131,90
47096,132,372
56631,133,258
54919,134,91
54920,135,91
54921,136,91
56676,137,71
39872,138,317
39873,139,317
39874,140,317
39875,141,317
39876,142,317
39877,143,317
39878,144,317
39879,145,317
56213,146,90
56482,147,315
39880,148,317
39881,149,317
39882,150,317
39883,151,317
39884,152,317
39885,153,317
39886,154,317
39887,155,317
56483,156,315
39888,157,317
56484,158,315
56485,159,315
39889,160,317
47097,161,372
47098,162,372
47099,163,372
56486,164,315
39890,165,317
39891,166,317
54922,167,91
54923,168,91
54924,169,91
54925,170,91
54926,171,91
54927,172,91
56487,173,315
39892,174,317
56488,175,315
39893,176,317
39894,177,317
56489,178,315
39895,179,317
39896,180,317
39897,181,317
39898,182,317
39899,183,317
39900,184,317
39901,185,317
39902,186,317
39903,187,317
39904,188,317
39905,189,317
39906,190,317
58526,191,321
58527,192,321
56490,193,315
54928,194,91
54929,195,91
54930,196,91
39907,197,317
39908,198,317
39909,199,317
39910,200,317
39911,201,317
39912,202,317
58633,203,259
54931,204,91
58634,205,259
54932,206,91
54933,207,91
58635,208,259
54934,209,91
55222,210,111
54935,211,91
54936,212,91
55223,213,111
55224,214,111
39913,215,317
39914,216,317
39915,217,317
46616,218,316
39916,219,317
39917,220,317
55225,221,111
54937,222,91
54938,223,91
55226,224,111
54939,225,91
54940,226,91
54941,227,91
54942,228,91
54943,229,91
54944,230,91
54945,231,91
54946,232,91
39918,233,317
46617,234,316
46618,235,316
39919,236,317
39920,237,317
39921,238,317
39922,239,317
39923,240,317
39924,241,317
56677,242,71
56678,243,71
46619,244,316
39925,245,317
39926,246,317
39927,247,317
39928,248,317
39929,249,317
39930,250,317
39931,251,317
39932,252,317
39933,253,317
39934,254,317
39935,255,317
47100,256,372
39936,257,317
39937,258,317
39938,259,317
39939,260,317
39940,261,317
39941,262,317
58760,263,78
39942,264,317
39943,265,317
39944,266,317
39945,267,317
39946,268,317
39947,269,317
39948,270,317
39949,271,317
39950,272,317
39951,273,317
39952,274,317
39953,275,317
39954,276,317
39955,277,317
39956,278,317
39957,279,317
39958,280,317
39959,281,317
39960,282,317
39961,283,317
54947,284,91
54948,285,91
54949,286,91
39962,287,317
39963,288,317
39964,289,317
39965,290,317
39966,291,317
39967,292,317
29448,293,96
47101,294,372
39968,295,317
39969,296,317
39970,297,317
39971,298,317
39972,299,317
39973,300,317
39974,301,317
46620,302,316
56491,303,315
58833,304,380
47102,305,372
35842,306,2
35843,307,2
39975,308,317
39976,309,317
39977,310,317
54950,311,91
54951,312,91
54952,313,91
39978,314,317
39979,315,317
39980,316,317
39981,317,317
39982,318,317
39983,319,317
39984,320,317
39985,321,317
39986,322,317
39987,323,317
39988,324,317
39989,325,317
54953,326,91
54954,327,91
54955,328,91
54956,329,91
54957,330,91
54958,331,91
39990,332,317
39991,333,317
39992,334,317
39993,335,317
39994,336,317
39995,337,317
39996,338,317
39997,339,317
39998,340,317
39999,341,317
40000,342,317
40001,343,317
40002,344,317
40003,345,317
40004,346,317
40005,347,317
40006,348,317
40007,349,317
47103,350,372
40008,351,317
40009,352,317
40010,353,317
40011,354,317
40012,355,317
58834,356,380
47104,357,372
40013,358,317
47105,359,372
56679,360,71
23629,361,374
40014,362,317
40015,363,317
40016,364,317
40017,365,317
40018,366,317
40019,367,317
40020,368,317
40021,369,317
40022,370,317
40023,371,317
40024,372,317
40025,373,317
40026,374,317
40027,375,317
40028,376,317
40029,377,317
40030,378,317
40031,379,317
40032,380,317
40033,381,317
40034,382,317
43195,383,6
40035,384,317
40036,385,317
54959,386,91
55227,387,111
43196,388,6
42432,389,115
54960,390,91
59227,391,318
40037,392,317
40038,393,317
40039,394,317
40040,395,317
40041,396,317
40042,397,317
40043,398,317
40044,399,317
40045,400,317
40046,401,317
40047,402,317
23630,403,374
36361,404,10
36362,405,10
23631,406,374
40048,407,317
40049,408,317
36363,409,10
40050,410,317
40051,411,317
40052,412,317
29449,413,96
46621,414,316
47106,415,372
40053,416,317
40054,417,317
40055,418,317
40056,419,317
40057,420,317
40058,421,317
40059,422,317
40060,423,317
40061,424,317
36364,425,10
36365,426,10
36366,427,10
36367,428,10
36368,429,10
36369,430,10
36370,431,10
36371,432,10
36372,433,10
36373,434,10
36374,435,10
36375,436,10
36376,437,10
36377,438,10
36378,439,10
36379,440,10
36380,441,10
36381,442,10
5,443,0
36382,444,10
6,445,0
40062,446,317
40063,447,317
40064,448,317
40065,449,317
40066,450,317
40067,451,317
40068,452,317
40069,453,317
40070,454,317
40071,455,317
40072,456,317
40073,457,317
40074,458,317
40075,459,317
40076,460,317
40077,461,317
40078,462,317
40079,463,317
40080,464,317
40081,465,317
40082,466,317
40083,467,317
40084,468,317
40085,469,317
23632,470,374
40086,471,317
40087,472,317
40088,473,317
40089,474,317
40090,475,317
40091,476,317
40092,477,317
40093,478,317
40094,479,317
40095,480,317
40096,481,317
40097,482,317
40098,483,317
40099,484,317
40100,485,317
40101,486,317
40102,487,317
40103,488,317
47107,489,372
47108,490,372
40104,491,317
40105,492,317
7,493,0
8,494,0
9,495,0
10,496,0
11,497,0
12,498,0
13,499,0
40106,500,317
14,501,0
33955,502,24
40107,503,317
15,504,0
16,505,0
40108,506,317
40109,507,317
40110,508,317
40111,509,317
40112,510,317
17,511,0
56492,512,315
40113,513,317
59228,514,318
18,515,0
19,516,0
20,517,0
21,518,0
22,519,0
23,520,0
24,521,0
25,522,0
26,523,0
27,524,0
28,525,0
29,526,0
30,527,0
31,528,0
32,529,0
33,530,0
34,531,0
35,532,0
46622,533,316
46623,534,316
46624,535,316
40114,536,317
40115,537,317
40116,538,317
40117,539,317
40118,540,317
40119,541,317
40120,542,317
46625,543,316
40121,544,317
59229,545,318
59230,546,318
59231,547,318
59232,548,318
59233,549,318
59234,550,318
54961,551,91
59235,552,318
